"dt","aircraft_type_id","qty","qty2"
"2023-11-30 00:00:00",2,15,"451"
"2023-12-07 00:00:00",342,7,"1019"
"2023-12-07 00:00:00",2,13,"393"
"2023-12-14 00:00:00",2,15,"600"
"2025-07-10 00:00:00",342,6,"1448"
"2023-12-21 00:00:00",342,9,"2432"
"2023-12-21 00:00:00",362,3,"332"
"2025-07-03 00:00:00",2,31,"984"
"2023-12-28 00:00:00",2,6,"171"
"2023-12-28 00:00:00",362,3,"345"
"2025-02-20 00:00:00",342,1,"277"
"2024-01-04 00:00:00",342,1,"106"
"2024-01-04 00:00:00",2,35,"1207"
"2025-02-27 00:00:00",342,6,"1246"
"2025-03-06 00:00:00",342,2,"410"
"2025-03-13 00:00:00",342,5,"1254"
"2024-12-05 00:00:00",2,13,"537"
"2024-12-05 00:00:00",362,4,"365"
"2025-03-20 00:00:00",342,5,"666"
"2024-12-12 00:00:00",2,7,"225"
"2024-12-12 00:00:00",362,3,"449"
"2025-02-20 00:00:00",3,2,"385"
"2024-12-19 00:00:00",2,6,"188"
"2025-07-10 00:00:00",2,67,"2021"
"2024-12-26 00:00:00",2,16,"615"
"2025-02-20 00:00:00",2,6,"215"
"2025-02-27 00:00:00",2,56,"1179"
"2025-03-06 00:00:00",2,3,"51"
"2025-03-13 00:00:00",2,13,"263"
"2025-07-17 00:00:00",342,6,"673"
"2025-03-20 00:00:00",2,11,"383"
"2025-03-20 00:00:00",3,3,"820"
"2025-03-27 00:00:00",3,3,"478"
"2025-07-24 00:00:00",342,5,"929"
"2025-04-10 00:00:00",3,5,"677"
"2025-07-31 00:00:00",342,2,"1185"
"2025-03-27 00:00:00",342,2,"545"
"2025-04-03 00:00:00",342,7,"1290"
"2025-04-10 00:00:00",342,6,"1000"
"2025-03-27 00:00:00",2,29,"833"
"2025-04-03 00:00:00",2,27,"917"
"2025-04-10 00:00:00",2,33,"819"
"2025-07-17 00:00:00",2,51,"1839"
"2025-07-24 00:00:00",2,49,"1672"
"2025-04-17 00:00:00",342,5,"1850"
"2025-04-17 00:00:00",2,35,"1636"
"2025-04-17 00:00:00",3,2,"405"
"2025-05-01 00:00:00",3,3,"229"
"2025-05-01 00:00:00",342,2,"2556"
"2025-04-24 00:00:00",2,20,"861"
"2025-05-01 00:00:00",2,22,"839"
"2025-07-31 00:00:00",2,55,"1666"
"2025-05-08 00:00:00",342,6,"2394"
"2025-05-08 00:00:00",2,38,"1363"
"2025-05-15 00:00:00",342,4,"1331"
"2025-05-15 00:00:00",2,27,"1174"
"2025-08-07 00:00:00",342,6,"1165"
"2025-08-07 00:00:00",2,43,"1367"
"2025-05-22 00:00:00",342,2,"385"
"2025-08-14 00:00:00",2,47,"1679"
"2025-06-26 00:00:00",402,3,"145"
"2025-07-03 00:00:00",402,9,"642"
"2025-07-10 00:00:00",402,14,"1039"
"2025-05-22 00:00:00",2,18,"691"
"2025-05-29 00:00:00",2,28,"841"
"2025-06-05 00:00:00",342,1,"281"
"2025-06-12 00:00:00",342,3,"651"
"2025-07-24 00:00:00",402,8,"437"
"2025-06-05 00:00:00",2,43,"1519"
"2025-07-31 00:00:00",402,4,"179"
"2025-08-07 00:00:00",402,15,"802"
"2025-08-14 00:00:00",402,5,"273"
"2025-06-12 00:00:00",3,4,"800"
"2025-08-21 00:00:00",402,3,"126"
"2025-06-26 00:00:00",342,7,"1104"
"2025-06-19 00:00:00",342,7,"1682"
"2025-06-26 00:00:00",2,50,"1524"
"2025-06-12 00:00:00",2,31,"910"
"2025-03-13 00:00:00",362,2,"120"
"2025-04-10 00:00:00",362,3,"300"
"2025-04-17 00:00:00",362,1,"190"
"2025-05-15 00:00:00",362,5,"170"
"2025-08-28 00:00:00",2,73,"3485"
"2025-08-21 00:00:00",342,11,"2518"
"2025-08-28 00:00:00",342,8,"1456"
"2025-03-13 00:00:00",3,4,"690"
"2025-09-04 00:00:00",342,5,"1619"
"2025-09-18 00:00:00",342,5,"696"
"2025-09-25 00:00:00",2,57,"2424"
"2025-10-02 00:00:00",402,2,"83"
"2025-10-09 00:00:00",2,26,"794"
